"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13114452000","185190720","1049424","6736","410137","303575","4286","70.82",""
"2","","League of Legends","4250406180","80430540","707016","3037","109064","98389","1861","52.85",""
"3","","Counter-Strike","4181655180","69337680","487077","3314","144097","96797","1605","60.31",""
"4","","Grand Theft Auto V","3838061220","110506080","216955","4701","180750","88844","2558","34.73",""
"5","","VALORANT","2585954340","120502920","278552","4303","220596","59860","2789","21.46",""
"6","","World of Warcraft","2420406840","57843060","319074","3802","48354","56027","1338","41.84",""
"7","","Overwatch","2140497960","64200120","171928","3052","130790","49548","1486","33.34",""
"8","","Fortnite","1828521180","185286000","261540","8433","559461","42326","4289","9.87",""
"9","","Crimson Desert","1825551840","69761880","498651","9089","83215","42258","1614","26.17",""
"10","","Dota 2","1782254280","35484240","213150","1721","43422","41255","821","50.23",""
"11","","IRL","1747637580","19862820","182847","671","45196","40454","459","87.99",""
"12","","Minecraft","1679123340","100931880","176865","4576","301716","38868","2336","16.64",""
"13","","Dead by Daylight","1106545260","76301520","58744","3556","115590","25614","1766","14.5",""
"14","","Apex Legends","1063338480","82524840","180220","3144","152386","24614","1910","12.89",""
"15","","ARC Raiders","1057872900","76841760","95055","3919","123133","24487","1778","13.77",""
"16","","Rust","1006976580","12355200","124210","798","20317","23309","286","81.5",""
"17","","QSMP","968974680","327060","149711","32","236","22429","7","2962.68",""
"18","","Marvel Rivals","935421120","64689660","203374","4355","124123","21653","1497","14.46",""
"19","","Call of Duty: Warzone","868328040","68515800","83180","3027","129515","20100","1586","12.67",""
"20","","Hearthstone","756383640","5186280","47319","303","7385","17508","120","145.84",""
"21","","Slots","725633220","3295500","46589","151","3505","16797","76","220.19",""
"22","","Rainbow Six Siege","633723960","51256980","139106","2593","181185","14669","1186","12.36",""
"23","","Rocket League","601284900","41737200","158900","1867","210243","13918","966","14.41",""
"24","","Special Events","556970160","3768960","162035","525","7818","12892","87","147.78",""
"25","","Virtual Casino","547329780","1265040","36518","68","1389","12669","29","432.66",""
"26","","EA Sports FC 26","507459240","30035400","115792","1972","99302","11746","695","16.9",""
"27","","Always On","501531120","13181220","23905","341","873","11609","305","38.05",""
"28","","World of Tanks","486215700","6134880","55203","382","7064","11254","142","79.25",""
"29","","Path of Exile","480579660","8431140","34032","481","6341","11124","195","57",""
"30","","RESIDENT EVIL: requiem","464879100","21496200","40588","1558","54543","10761","497","21.63",""
"31","","PUBG: BATTLEGROUNDS","455375220","22764000","37940","1108","37224","10541","526","20",""
"32","","Deadlock","449826360","16951920","52089","620","24943","10412","392","26.54",""
"33","","Slay the Spire II","438236160","11832000","29494","524","23693","10144","273","37.04",""
"34","","ASMR","436576320","5871480","28511","188","3016","10105","135","74.36",""
"35","","Teamfight Tactics","431199780","8014020","101604","789","17449","9981","185","53.81",""
"36","","DJs","390212460","10528800","35307","505","9220","9032","243","37.06",""
"37","","Call of Duty: Black Ops 7","385275360","25159440","94527","1322","42979","8918","582","15.31",""
"38","","Art","384152520","25029600","15396","927","39420","8892","579","15.35",""
"39","","Pokémon Champions","363910080","4751400","78702","1010","12849","8423","109","76.59",""
"40","","Kings League","359895360","191160","186830","34","326","8330","4","1882.69",""
"41","","Music","338403540","24510900","63382","913","31723","7833","567","13.81",""
"42","","Sports","334838040","5313240","71873","379","8980","7750","122","63.02",""
"43","","Marathon","320459400","15826920","69065","1236","22507","7418","366","20.25",""
"44","","Chess","316304220","2479140","203944","154","6086","7321","57","127.59",""
"45","","Street Fighter 6","309216300","7585020","57305","427","14011","7157","175","40.77",""
"46","","Arena Breakout: Infinite","303585360","10497000","101223","658","9908","7027","242","28.92",""
"47","","Old School RuneScape","302461020","7805520","39264","715","6831","7001","180","38.75",""
"48","","ROBLOX","300562620","73132620","67015","5114","352583","6957","1692","4.11",""
"49","","Escape from Tarkov","287015940","14111940","15395","534","12772","6643","326","20.34",""
"50","","ELDEN RING","284347260","15902640","30712","688","32970","6582","368","17.88",""