"Marca temporal","Por favor indica tu rango de edad","¿Cuál de las siguientes plataformas de streaming utilizas con más frecuencia?","Especifica cual seria/n:","En promedio, ¿cuántas horas dedicas a consumir contenido en plataformas de streaming a la semana?","Al momento de elegir qué ver en plataformas, ¿cuál de los siguientes factores influye más en tu decisión final? 
(puedes escoger max 3)","¿Cómo ha cambiado tu hábito de consumo la posibilidad de acceder a temporadas completas o contenido variado de forma inmediata?"
"2026/05/11 11:21:47 p.m. GMT-4","Entre 20 y 30","Otra/Varias (Especificar)","Crunchyroll","Menos de 3 horas","Duración del contenido;Comentarios o reseñas de amigos/redes sociales","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/11 11:36:13 p.m. GMT-4","Entre 20 y 30","HBO Max","","Menos de 3 horas","Tendencias actuales/Popularidad","Consumo menos contenido, ya que la gran cantidad de opciones me dificulta elegir qué ver"
"2026/05/12 12:00:16 a.m. GMT-4","Entre 20 y 30","Amazon Prime Video","","Menos de 3 horas","Calificación/Puntuación de otros usuarios;Comentarios o reseñas de amigos/redes sociales;Género/Categoría","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 12:06:47 a.m. GMT-4","Entre 20 y 30","Netflix","","3 a 7 horas","Recomendaciones personalizadas de la plataforma;Tendencias actuales/Popularidad;Género/Categoría","Consumo menos contenido, ya que la gran cantidad de opciones me dificulta elegir qué ver"
"2026/05/12 12:21:55 a.m. GMT-4","Entre 20 y 30","YouTube Premium","","16 a 25 horas","Tendencias actuales/Popularidad;Disponibilidad en 4K/HDR/Audio espacial","Consumo contenido con mayor frecuencia, pero en sesiones más largas"
"2026/05/12 1:43:58 a.m. GMT-4","Entre 20 y 30","YouTube Premium","","Más de 25 horas","Recomendaciones personalizadas de la plataforma;Género/Categoría;Duración del contenido","Consumo menos contenido, ya que la gran cantidad de opciones me dificulta elegir qué ver"
"2026/05/12 8:05:05 a.m. GMT-4","Entre 20 y 30","Amazon Prime Video","","Menos de 3 horas","Calificación/Puntuación de otros usuarios;Comentarios o reseñas de amigos/redes sociales;Tendencias actuales/Popularidad","Mi hábito de consumo no ha cambiado significativamente."
"2026/05/12 9:04:46 a.m. GMT-4","Entre 31 y 40","YouTube Premium","","3 a 7 horas","Calificación/Puntuación de otros usuarios","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 9:37:11 a.m. GMT-4","Entre 20 y 30","Netflix","","3 a 7 horas","Tendencias actuales/Popularidad;Comentarios o reseñas de amigos/redes sociales;Género/Categoría","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 9:38:11 a.m. GMT-4","Entre 20 y 30","Spotify / Apple Music (Streaming de audio)","","8 a 15 horas","Recomendaciones personalizadas de la plataforma;Duración del contenido;Disponibilidad en 4K/HDR/Audio espacial","Consumo contenido con mayor frecuencia, pero en sesiones más cortas"
"2026/05/12 9:40:11 a.m. GMT-4","Entre 20 y 30","Netflix","","8 a 15 horas","Duración del contenido;Género/Categoría","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 9:40:32 a.m. GMT-4","Entre 20 y 30","Otra/Varias (Especificar)","Twitch","Menos de 3 horas","Género/Categoría","Mi hábito de consumo no ha cambiado significativamente."
"2026/05/12 9:45:06 a.m. GMT-4","Entre 20 y 30","Spotify / Apple Music (Streaming de audio)","","3 a 7 horas","Comentarios o reseñas de amigos/redes sociales;Calificación/Puntuación de otros usuarios;Duración del contenido","Consumo contenido con mayor frecuencia, pero en sesiones más largas"
"2026/05/12 9:47:47 a.m. GMT-4","Menor a 20","Netflix","","Menos de 3 horas","Comentarios o reseñas de amigos/redes sociales;Género/Categoría;Tendencias actuales/Popularidad","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 10:01:20 a.m. GMT-4","Entre 20 y 30","YouTube Premium","","Menos de 3 horas","Disponibilidad en 4K/HDR/Audio espacial","Consumo contenido con mayor frecuencia, pero en sesiones más cortas"
"2026/05/12 10:07:40 a.m. GMT-4","Entre 31 y 40","Spotify / Apple Music (Streaming de audio)","","3 a 7 horas","Género/Categoría;Disponibilidad en 4K/HDR/Audio espacial;Tendencias actuales/Popularidad","Consumo contenido con mayor frecuencia, pero en sesiones más largas"
"2026/05/12 11:40:56 a.m. GMT-4","Entre 41 y 50","Spotify / Apple Music (Streaming de audio)","","8 a 15 horas","Comentarios o reseñas de amigos/redes sociales;Tendencias actuales/Popularidad;Disponibilidad en 4K/HDR/Audio espacial","Consumo contenido con mayor frecuencia, pero en sesiones más cortas"
"2026/05/12 11:41:56 a.m. GMT-4","Entre 20 y 30","Netflix","","8 a 15 horas","Comentarios o reseñas de amigos/redes sociales;Tendencias actuales/Popularidad;Calificación/Puntuación de otros usuarios","Consumo contenido con mayor frecuencia, pero en sesiones más largas"
"2026/05/12 11:47:32 a.m. GMT-4","Mayor a 50","Amazon Prime Video","","Menos de 3 horas","Duración del contenido;Tendencias actuales/Popularidad;Comentarios o reseñas de amigos/redes sociales","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 12:01:50 p.m. GMT-4","Mayor a 50","No utilizo plataformas de streaming","","","",""
"2026/05/12 12:04:04 p.m. GMT-4","Mayor a 50","Netflix","","3 a 7 horas","Género/Categoría","Mi hábito de consumo no ha cambiado significativamente."
"2026/05/12 12:05:03 p.m. GMT-4","Mayor a 50","Netflix","","3 a 7 horas","Género/Categoría","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 1:04:13 p.m. GMT-4","Mayor a 50","Spotify / Apple Music (Streaming de audio)","","8 a 15 horas","Duración del contenido;Tendencias actuales/Popularidad","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 2:00:42 p.m. GMT-4","Entre 20 y 30","YouTube Premium","","Más de 25 horas","Recomendaciones personalizadas de la plataforma;Duración del contenido;Género/Categoría","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 4:57:17 p.m. GMT-4","Entre 20 y 30","Spotify / Apple Music (Streaming de audio)","","16 a 25 horas","Duración del contenido;Género/Categoría;Calificación/Puntuación de otros usuarios","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/12 6:55:34 p.m. GMT-4","Entre 20 y 30","Spotify / Apple Music (Streaming de audio)","","3 a 7 horas","Tendencias actuales/Popularidad","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/13 4:39:46 p.m. GMT-4","Mayor a 50","Netflix","","Menos de 3 horas","Disponibilidad en 4K/HDR/Audio espacial;Tendencias actuales/Popularidad;Comentarios o reseñas de amigos/redes sociales","Solo veo contenido cuando tengo tiempo libre, sin importar si está disponible de forma inmediata"
"2026/05/13 7:12:08 p.m. GMT-4","Entre 20 y 30","No utilizo plataformas de streaming","","","",""
"2026/05/13 7:41:19 p.m. GMT-4","Entre 20 y 30","Spotify / Apple Music (Streaming de audio)","","16 a 25 horas","Género/Categoría","Consumo contenido con mayor frecuencia, pero en sesiones más largas"